Name,Email,Phone Number,Visit Date,Total Bill,Payment Method,Rating,Feedback
Reginald Bennett,hoffmanlucas@example.net,460-855-4159x24090,INVALID_DATE,,INVALID_METHOD,-1.0,INVALID_FEEDBACK
Jennifer Morris,ericfreeman@example.org,001-620-832-6645x1182,INVALID_DATE,INVALID_AMOUNT,Credit Card,INVALID_RATING,
Misty Fisher,tpena@example.org,+1-497-602-1723,INVALID_DATE,42.27,Debit Card,-1.0,
Melissa Le,andrew45@example.net,+1-664-985-8797x05923,INVALID_DATE,396.32,Cash,1.0305211447287808,
Timothy Torres,michaelkennedy@example.com,809.554.0419,INVALID_DATE,245.6,,4.35528906068553,INVALID_FEEDBACK
Stephanie Knapp,summergarcia@example.com,754.400.8348,,108.61,Cash,2.9840593530047412,INVALID_FEEDBACK
Barbara Lopez,duncancorey@example.net,7136937970,2024-05-08,INVALID_AMOUNT,,6.0,INVALID_FEEDBACK
Derek Harrison,morganernest@example.com,789.692.6842x06507,,215.15,Credit Card,6.0,
David Ramirez,cwilliams@example.org,585-210-6853x5591,,448.02,Debit Card,INVALID_RATING,INVALID_FEEDBACK
Melanie Larson,jessefletcher@example.org,646.613.3996,2024-04-12,323.53,,2.0728282826436755,For ball keep.
David Montgomery,morganmelissa@example.com,948-791-6862,,,Debit Card,6.0,Responsibility approach him rise.
Kristin Ramirez,henryoliver@example.org,+1-875-895-4870x083,,INVALID_AMOUNT,INVALID_METHOD,,Blood action imagine indicate first four theory impact.
Ashley Hart,doyledebbie@example.com,001-738-410-7770x477,INVALID_DATE,118.15,Debit Card,-1.0,
Steven Chavez,kristirush@example.com,+1-477-208-6210x017,INVALID_DATE,413.66,Debit Card,INVALID_RATING,Own after small organization hair sure year.
Rachel Durham,jessica44@example.net,895.928.1017x26576,,,Debit Card,-1.0,INVALID_FEEDBACK
Barbara Crawford,nicholsjeremy@example.net,001-293-593-6608x6971,2024-02-02,271.19,INVALID_METHOD,,
Connor Allison,christopherhall@example.com,+1-651-622-2799x32902,,,Credit Card,6.0,Order who tree create thousand offer newspaper.
Stephen Palmer,joycemartin@example.org,490-657-0387,2024-07-29,362.1,,INVALID_RATING,
Caitlin Baldwin,vickiemccann@example.net,599-990-4074,2024-07-13,93.31,,1.331655682521793,
Samuel Fisher,sdavis@example.net,+1-394-573-5669x103,2024-01-06,433.42,Cash,6.0,
Carly Matthews,jacksonbrittany@example.com,411-805-4806x4885,2024-04-20,INVALID_AMOUNT,Credit Card,6.0,INVALID_FEEDBACK
Austin Taylor,nunezamy@example.org,001-905-610-3493,2024-03-21,85.53,Cash,4.2054750976359045,
Ashley Long,qgonzales@example.net,338.664.8160,,487.51,INVALID_METHOD,1.7402210614895504,Establish article member chance firm four.
Robert Richardson,kristen05@example.org,937.299.7362x3181,INVALID_DATE,,INVALID_METHOD,INVALID_RATING,INVALID_FEEDBACK
Joseph Allen,brian84@example.org,(741)393-0364,2024-02-01,370.61,,INVALID_RATING,
Jasmine Ortega,itucker@example.net,001-388-741-1331x56434,2024-07-05,105.93,INVALID_METHOD,3.600473362313651,Letter system employee win attention.
Tracey Franklin,nicholasbrooks@example.org,(234)486-7570,INVALID_DATE,272.12,Credit Card,-1.0,Commercial condition citizen especially very.
Kim Hale,robert71@example.net,(477)551-2173,2024-02-13,,INVALID_METHOD,3.9902951450935222,Course evening his box.
Rhonda Walker,frederick20@example.com,5899136095,2024-06-06,INVALID_AMOUNT,INVALID_METHOD,INVALID_RATING,Front east side report cut.
Lisa Owen,lindsey37@example.org,001-889-335-9771x9390,,438.09,INVALID_METHOD,6.0,Avoid perhaps money voice but me several.
Alexandra Fields,hmiles@example.org,443.252.8037x789,2024-07-30,82.65,,6.0,Have idea design total establish.
Jacob Diaz,heathernelson@example.org,001-823-460-4805,,INVALID_AMOUNT,Cash,2.1907671318060338,INVALID_FEEDBACK
Timothy Davis,ricelisa@example.net,001-622-796-9648x34647,INVALID_DATE,230.72,Credit Card,2.0880463965435614,INVALID_FEEDBACK
